book_id,goodreads_book_id,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,image_url,small_image_url
1569,143534,"O. Henry, Lisbeth Zwerger",1905,The Gift of the Magi,The Gift of the Magi,eng,4.07,66537,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1570,7442,Tom Wolfe,1968,The Electric Kool-Aid Acid Test,The Electric Kool-Aid Acid Test,en-US,3.92,54848,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1571,7437,"William S. Burroughs, James Grauerholz, Barry  Miles",1959,The Naked Lunch,Naked Lunch,en-US,3.46,55473,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1572,25100,"Neil Gaiman, Kelley Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Erickson",1991,The Sandman: Dream Country,Dream Country (The Sandman #3),eng,4.28,67753,https://images.gr-assets.com/books/1402485052m/25100.jpg,https://images.gr-assets.com/books/1402485052s/25100.jpg
1573,5360,John Grisham,2001,A Painted House,A Painted House,eng,3.67,59974,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1574,18423,"Ursula K. Le Guin, Lech Jęczmyk",1969,The Left Hand of Darkness,The Left Hand of Darkness,eng,4.05,61888,https://images.gr-assets.com/books/1488213612m/18423.jpg,https://images.gr-assets.com/books/1488213612s/18423.jpg
1575,3213286,"John Green, Maureen Johnson, Lauren Myracle",2008,Let It Snow: Three Holiday Romances,Let It Snow: Three Holiday Romances,eng,3.84,57632,https://images.gr-assets.com/books/1489409554m/3213286.jpg,https://images.gr-assets.com/books/1489409554s/3213286.jpg
1576,7912007,Stephen King,2010,"Full Dark, No Stars","Full Dark, No Stars",en-US,4.03,60672,https://images.gr-assets.com/books/1327892855m/7912007.jpg,https://images.gr-assets.com/books/1327892855s/7912007.jpg
1577,20696006,Atul Gawande,2014,Being Mortal: Medicine and What Matters in the End,Being Mortal: Medicine and What Matters in the End,eng,4.4,56510,https://images.gr-assets.com/books/1408324949m/20696006.jpg,https://images.gr-assets.com/books/1408324949s/20696006.jpg
1578,32439,Dean Koontz,1987,Intensity,Intensity,eng,4.04,58062,https://images.gr-assets.com/books/1308458213m/32439.jpg,https://images.gr-assets.com/books/1308458213s/32439.jpg
1579,6472246,Chelsea Handler,2010,Chelsea Chelsea Bang Bang,Chelsea Chelsea Bang Bang,en-US,3.81,55355,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1580,37793,"Henrik Ibsen, Michael   Meyer",1879,Et dukkehjem,A Doll's House,eng,3.69,69450,https://images.gr-assets.com/books/1427119396m/37793.jpg,https://images.gr-assets.com/books/1427119396s/37793.jpg
1581,12658,James A. Michener,1959,Hawaii,Hawaii,en-GB,4.18,59963,https://images.gr-assets.com/books/1415585664m/12658.jpg,https://images.gr-assets.com/books/1415585664s/12658.jpg
1582,48328,Richard Yates,1961,Revolutionary Road,Revolutionary Road,eng,3.89,56550,https://images.gr-assets.com/books/1353721885m/48328.jpg,https://images.gr-assets.com/books/1353721885s/48328.jpg
1583,25373,"Rachel Cohn, David Levithan",2006,Nick & Norah's Infinite Playlist,Nick & Norah's Infinite Playlist,en-US,3.73,60372,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1584,18545,"Tom Stoppard, Henry Popkin",1966,Rosencrantz and Guildenstern are Dead,Rosencrantz and Guildenstern Are Dead,eng,4.06,67077,https://images.gr-assets.com/books/1338735611m/18545.jpg,https://images.gr-assets.com/books/1338735611s/18545.jpg
1585,9409458,Maggie Stiefvater,2011,Forever,"Forever (The Wolves of Mercy Falls, #3)",eng,3.91,85034,https://images.gr-assets.com/books/1285771367m/9409458.jpg,https://images.gr-assets.com/books/1285771367s/9409458.jpg
1586,607639,Alex Garland,1996,The Beach,The Beach,eng,3.91,52333,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1587,6617928,"Beth Hoffman, Jenna Lamia",2010,Saving CeeCee Honeycutt,Saving CeeCee Honeycutt,eng,3.92,54341,https://images.gr-assets.com/books/1348364490m/6617928.jpg,https://images.gr-assets.com/books/1348364490s/6617928.jpg
1588,10407279,Charlaine Harris,2012,Deadlocked,"Deadlocked (Sookie Stackhouse, #12)",eng,3.65,65932,https://images.gr-assets.com/books/1357995380m/10407279.jpg,https://images.gr-assets.com/books/1357995380s/10407279.jpg
1589,10579,Stephen King,2002,Everything's Eventual: 14 Dark Tales,Everything's Eventual: 14 Dark Tales,eng,3.94,60932,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1590,91244,Beverly Cleary,1955,Beezus and Ramona,"Beezus and Ramona (Ramona, #1)",,3.97,75987,https://images.gr-assets.com/books/1408924681m/91244.jpg,https://images.gr-assets.com/books/1408924681s/91244.jpg
1591,13667,Ursula K. Le Guin,1972,The Farthest Shore,"The Farthest Shore (Earthsea Cycle, #3)",,4.11,65626,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1592,7667,Michael Crichton,1996,Airframe,Airframe,eng,3.66,59229,https://images.gr-assets.com/books/1405420599m/7667.jpg,https://images.gr-assets.com/books/1405420599s/7667.jpg
1593,13812,Raymond E. Feist,1982,Magician,"Magician: Apprentice (The Riftwar Saga, #1)",en-US,4.17,62432,https://images.gr-assets.com/books/1408317983m/13812.jpg,https://images.gr-assets.com/books/1408317983s/13812.jpg
1594,854757,Jennifer Crusie,2004,Bet Me,Bet Me,eng,3.95,70737,https://images.gr-assets.com/books/1316129534m/854757.jpg,https://images.gr-assets.com/books/1316129534s/854757.jpg
1595,318431,Nelson Mandela,1994,Long Walk to Freedom: The Autobiography of Nelson Mandela,Long Walk to Freedom,eng,4.31,43927,https://images.gr-assets.com/books/1327997342m/318431.jpg,https://images.gr-assets.com/books/1327997342s/318431.jpg
1596,20707959,John Grisham,2014,Gray Mountain,Gray Mountain,eng,3.52,37379,https://images.gr-assets.com/books/1403704671m/20707959.jpg,https://images.gr-assets.com/books/1403704671s/20707959.jpg
1597,122,Bryce Courtenay,1989,The Power of One,"The Power of One (The Power of One, #1)",eng,4.34,57312,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1598,29999,Dashiell Hammett,1930,The Maltese Falcon,The Maltese Falcon,eng,3.92,58742,https://images.gr-assets.com/books/1306421260m/29999.jpg,https://images.gr-assets.com/books/1306421260s/29999.jpg
1599,8949352,Kristin Hannah,2011,Night Road,Night Road,en-US,4.17,58028,https://images.gr-assets.com/books/1282369257m/8949352.jpg,https://images.gr-assets.com/books/1282369257s/8949352.jpg
1600,220970,Lee Child,1999,Tripwire,"Tripwire  (Jack Reacher, #3)",eng,4.07,55251,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1601,26329,Daniel Goleman,1995,Emotional Intelligence,Emotional Intelligence: Why It Can Matter More Than IQ,eng,3.98,47661,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1602,6585201,Jim Butcher,2010,Changes,"Changes (The Dresden Files, #12)",eng,4.54,66402,https://images.gr-assets.com/books/1304027244m/6585201.jpg,https://images.gr-assets.com/books/1304027244s/6585201.jpg
1603,773951,"Munro Leaf, Robert Lawson",1936,The Story of Ferdinand,The Story of Ferdinand,,4.35,70961,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1604,270805,Ellen Hopkins,2007,Impulse,"Impulse (Impulse, #1)",en-US,4.29,59804,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1605,6440,Walter Scott,1819,Ivanhoe,Ivanhoe,eng,3.75,65828,https://images.gr-assets.com/books/1405336818m/6440.jpg,https://images.gr-assets.com/books/1405336818s/6440.jpg
1606,86663,Janet Evanovich,2004,Ten Big Ones,"Ten Big Ones (Stephanie Plum, #10)",en-US,4.13,76052,https://images.gr-assets.com/books/1171076278m/86663.jpg,https://images.gr-assets.com/books/1171076278s/86663.jpg
1607,32506,Michael Connelly,1996,The Poet,"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)",eng,4.19,56191,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1608,7719245,Kiersten White,2010,Paranormalcy,"Paranormalcy (Paranormalcy, #1)",eng,3.91,79959,https://images.gr-assets.com/books/1496938681m/7719245.jpg,https://images.gr-assets.com/books/1496938681s/7719245.jpg
1609,7351574,Mark Cotta Vaz,2010,Eclipse: The Official Illustrated Movie Companion,"Eclipse: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #3)",en-US,4.44,50084,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1610,13127599,Adriana Trigiani,2012,The Shoemaker's Wife,The Shoemaker's Wife,eng,3.98,53378,https://images.gr-assets.com/books/1329256279m/13127599.jpg,https://images.gr-assets.com/books/1329256279s/13127599.jpg
1611,784911,Brandon Mull,2006,Rise of the Evening Star,"Rise of the Evening Star (Fablehaven, #2)",,4.16,79266,https://images.gr-assets.com/books/1386633982m/784911.jpg,https://images.gr-assets.com/books/1386633982s/784911.jpg
1612,10305231,"Nora Roberts, MacLeod Andrews",2011,The Next Always,"The Next Always (Inn BoonsBoro, #1)",,4.11,54777,https://images.gr-assets.com/books/1491591796m/10305231.jpg,https://images.gr-assets.com/books/1491591796s/10305231.jpg
1613,2195464,"Haruki Murakami, Philip Gabriel",2007,走ることについて語るときに僕の語ること [Hashiru koto ni tsuite kataru toki ni boku no kataru koto],What I Talk About When I Talk About Running,eng,3.79,49344,https://images.gr-assets.com/books/1473397159m/2195464.jpg,https://images.gr-assets.com/books/1473397159s/2195464.jpg
1614,8680278,Jenny Han,2011,We'll Always Have Summer,"We'll Always Have Summer (Summer, #3)",en-US,4.17,68112,https://images.gr-assets.com/books/1327054226m/8680278.jpg,https://images.gr-assets.com/books/1327054226s/8680278.jpg
1615,6480781,"Andre Agassi, J.R. Moehringer",2009,Open: An Autobiography,Open,eng,4.18,47185,https://images.gr-assets.com/books/1320520930m/6480781.jpg,https://images.gr-assets.com/books/1320520930s/6480781.jpg
1616,136782,Anthony Horowitz,2000,Alex Rider: Stormbreaker,"Stormbreaker (Alex Rider, #1)",eng,3.97,67602,https://images.gr-assets.com/books/1288354739m/136782.jpg,https://images.gr-assets.com/books/1288354739s/136782.jpg
1617,21745,"Lee Child, Dick Hill",2002,Without Fail ,"Without Fail (Jack Reacher, #6)",eng,4.16,53411,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1618,95617,"Francine Rivers, Richard Ferrone",1993,A Voice in the Wind,"A Voice in the Wind (Mark of the Lion, #1)",en-US,4.6,55556,https://images.gr-assets.com/books/1459567327m/95617.jpg,https://images.gr-assets.com/books/1459567327s/95617.jpg
1619,8726744,Stephenie Meyer,2005,,"The Twilight Saga Complete Collection  (Twilight, #1-4 + 3.5)",eng,4.31,56827,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1620,14817,Philip K. Dick,1977,A Scanner Darkly ,A Scanner Darkly,eng,4.04,54014,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1621,6452796,Daniel H. Pink,2008,Drive: The Surprising Truth About What Motivates Us,Drive: The Surprising Truth About What Motivates Us,,3.95,55889,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1622,162898,Mark Twain,1889,A Connecticut Yankee in King Arthur's Court,A Connecticut Yankee in King Arthur's Court,eng,3.76,50112,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1623,106069,"Jeph Loeb, Tim Sale, Gregory Wright, Richard Starkings",1997,Batman: The Long Halloween,Batman: The Long Halloween,eng,4.29,54781,https://images.gr-assets.com/books/1350137101m/106069.jpg,https://images.gr-assets.com/books/1350137101s/106069.jpg
1624,298275,"Jean-Paul Sartre, Lloyd Alexander, Hayden Carruth",1938,La Nausée,Nausea,eng,3.91,50876,https://images.gr-assets.com/books/1377674928m/298275.jpg,https://images.gr-assets.com/books/1377674928s/298275.jpg
1625,1846,John Eldredge,2001,,Wild at Heart: Discovering the Secret of a Man's Soul,eng,3.93,50215,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1626,5217282,Brandon Mull,2009,"Fablehaven: Secrets of the Dragon Sanctuary (Fablehaven, #4)","Secrets of the Dragon Sanctuary (Fablehaven, #4)",eng,4.35,60744,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1627,3507,Janet Evanovich,2006,Twelve Sharp,"Twelve Sharp (Stephanie Plum, #12)",eng,4.14,74747,https://images.gr-assets.com/books/1316727699m/3507.jpg,https://images.gr-assets.com/books/1316727699s/3507.jpg
1628,12287209,Hugh Howey,2011,Wool,"Wool (Wool, #1)",eng,4.12,59191,https://images.gr-assets.com/books/1327889474m/12287209.jpg,https://images.gr-assets.com/books/1327889474s/12287209.jpg
1629,13662,Ursula K. Le Guin,1970,The Tombs of Atuan,"The Tombs of Atuan (Earthsea Cycle, #2)",eng,4.07,61457,https://images.gr-assets.com/books/1417900879m/13662.jpg,https://images.gr-assets.com/books/1417900879s/13662.jpg
1630,3475161,Jim Butcher,2009,Turn Coat,"Turn Coat (The Dresden Files, #11)",en-US,4.45,64089,https://images.gr-assets.com/books/1304027128m/3475161.jpg,https://images.gr-assets.com/books/1304027128s/3475161.jpg
1631,608474,"Arthur Conan Doyle, Peter Ackroyd, Ed Glinert",1890,The Sign of Four,The Sign of Four,eng,3.96,60469,https://images.gr-assets.com/books/1299346921m/608474.jpg,https://images.gr-assets.com/books/1299346921s/608474.jpg
1632,967494,Jan Brett,1929,РУКАВИЧКА: Українська народна казка,The Mitten,eng,4.23,66701,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1633,31338,Anne Rice,1995,Memnoch The Devil,"Memnoch the Devil (The Vampire Chronicles, #5)",eng,3.73,62641,https://images.gr-assets.com/books/1301778006m/31338.jpg,https://images.gr-assets.com/books/1301778006s/31338.jpg
1634,2402971,Michael Scott,2008,The Magician: The Secrets of The Immortal Nicholas Flamel,"The Magician (The Secrets of the Immortal Nicholas Flamel, #2)",eng,4.09,67539,https://images.gr-assets.com/books/1320396250m/2402971.jpg,https://images.gr-assets.com/books/1320396250s/2402971.jpg
1635,766955,"Doreen Cronin, Betsy Lewin",1999,"Click, Clack, Moo: Cows That Type","Click, Clack, Moo: Cows That Type",eng,4.23,67171,https://images.gr-assets.com/books/1423222939m/766955.jpg,https://images.gr-assets.com/books/1423222939s/766955.jpg
1636,1412138,Patricia Briggs,2008,Iron Kissed,"Iron Kissed (Mercy Thompson, #3)",en-US,4.36,83051,https://images.gr-assets.com/books/1358229529m/1412138.jpg,https://images.gr-assets.com/books/1358229529s/1412138.jpg
1637,9378297,Kendare Blake,2011,Anna Dressed in Blood,"Anna Dressed in Blood (Anna, #1)",en-US,3.96,72732,https://images.gr-assets.com/books/1398637405m/9378297.jpg,https://images.gr-assets.com/books/1398637405s/9378297.jpg
1638,253058,"Terry Goodkind, Dick Hill",1997,"Temple of the Winds (Sword of Truth, #4)","Temple of the Winds (Sword of Truth, #4)",,4.03,57476,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1639,310146,Avi,1990,The True Confessions of Charlotte Doyle,The True Confessions of Charlotte Doyle,eng,3.81,67608,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1640,4929705,Robert Goolrick,2009,A Reliable Wife,A Reliable Wife,en-US,3.25,58348,https://images.gr-assets.com/books/1404576577m/4929705.jpg,https://images.gr-assets.com/books/1404576577s/4929705.jpg
1641,248596,Ray Bradbury,1962,Something Wicked This Way Comes,"Something Wicked This Way Comes (Green Town, #2)",eng,3.95,64813,https://images.gr-assets.com/books/1409596011m/248596.jpg,https://images.gr-assets.com/books/1409596011s/248596.jpg
1642,11334,Toni Morrison,1977,Song of Solomon,Song of Solomon,eng,4.01,59756,https://images.gr-assets.com/books/1451448230m/11334.jpg,https://images.gr-assets.com/books/1451448230s/11334.jpg
1643,318525,Tom Clancy,1986,Red Storm Rising,Red Storm Rising,,4.14,54930,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1644,227571,Leif Enger,2001,Peace Like a River,Peace Like a River,en-US,3.98,59642,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1645,22285,Chuck Palahniuk,2007,Rant: An Oral Biography of Buster Casey,Rant,en-US,3.82,49255,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1646,9534,Orson Scott Card,2000,Shadow of the Hegemon,"Shadow of the Hegemon (Ender's Shadow, #2)",en-US,3.93,58991,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1647,7704143,أحمد مراد,2010,تراب الماس,تراب الماس,ara,4.09,43016,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1648,505304,"Janette Sebring Lowrey, Gustaf Tenggren",1942,The Poky Little Puppy (a Little Golden Book),The Poky Little Puppy (A Little Golden Book),eng,4.08,62571,https://images.gr-assets.com/books/1320424154m/505304.jpg,https://images.gr-assets.com/books/1320424154s/505304.jpg
1649,5196,Maeve Binchy,1998,Tara Road,Tara Road,eng,3.88,60154,https://images.gr-assets.com/books/1403194637m/5196.jpg,https://images.gr-assets.com/books/1403194637s/5196.jpg
1650,37677,Jack London,1906,The Call of the Wild / White Fang,The Call of the Wild/White Fang,eng,4.08,61126,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1651,13188676,Tahereh Mafi,2014,"Ignite Me (Shatter Me, #3)","Ignite Me (Shatter Me, #3)",eng,4.44,83767,https://images.gr-assets.com/books/1375972497m/13188676.jpg,https://images.gr-assets.com/books/1375972497s/13188676.jpg
1652,568645,Ally Carter,2007,Cross My Heart and Hope to Spy,"Cross My Heart and Hope to Spy (Gallagher Girls, #2)",en-US,4.13,69733,https://images.gr-assets.com/books/1342448094m/568645.jpg,https://images.gr-assets.com/books/1342448094s/568645.jpg
1653,285205,Patricia Briggs,2007,Blood Bound,"Blood Bound (Mercy Thompson, #2)",eng,4.31,84677,https://images.gr-assets.com/books/1358229157m/285205.jpg,https://images.gr-assets.com/books/1358229157s/285205.jpg
1654,12216302,Jim Butcher,2012,Cold Days,"Cold Days (The Dresden Files, #14)",en-US,4.51,57779,https://images.gr-assets.com/books/1345145377m/12216302.jpg,https://images.gr-assets.com/books/1345145377s/12216302.jpg
1655,17204,Kate Jacobs,2006,The Friday Night Knitting Club,"The Friday Night Knitting Club (Friday Night Knitting Club, #1)",eng,3.41,60812,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1656,38743,James Herriot,1973,All Things Bright and Beautiful,All Things Bright and Beautiful (All Creatures Great and Small),en-US,4.3,57626,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1657,6759,David Foster Wallace,1996,Infinite Jest,Infinite Jest,en-US,4.31,46742,https://images.gr-assets.com/books/1446876799m/6759.jpg,https://images.gr-assets.com/books/1446876799s/6759.jpg
1658,18297707,Emma Chase,2013,Tangled,"Tangled (Tangled, #1)",eng,4.12,59705,https://images.gr-assets.com/books/1375808439m/18297707.jpg,https://images.gr-assets.com/books/1375808439s/18297707.jpg
1659,530965,John Wyndham,1951,The Day of the Triffids,The Day of the Triffids,eng,4,58945,https://images.gr-assets.com/books/1320530145m/530965.jpg,https://images.gr-assets.com/books/1320530145s/530965.jpg
1660,9850443,"Patrick deWitt, Marcelo Barbão",2011,The Sisters Brothers,The Sisters Brothers,eng,3.83,51694,https://images.gr-assets.com/books/1291999900m/9850443.jpg,https://images.gr-assets.com/books/1291999900s/9850443.jpg
1661,6905012,Shilpi Somaya Gowda,2010,Secret Daughter,Secret Daughter,en-US,3.97,52734,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1662,6693,"Roald Dahl, Quentin Blake",1970,Fantastic Mr Fox,Fantastic Mr. Fox,eng,4.03,66015,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1663,68591,"Paulo Coelho, Montserrat Mira",1990,Brida,Brida,por,3.46,45905,https://images.gr-assets.com/books/1403772793m/68591.jpg,https://images.gr-assets.com/books/1403772793s/68591.jpg
1664,18521,Virginia Woolf,1929,A Room of One's Own,A Room of One's Own,eng,4.1,59868,https://images.gr-assets.com/books/1327883012m/18521.jpg,https://images.gr-assets.com/books/1327883012s/18521.jpg
1665,1268479,Brandon Sanderson,2009,Warbreaker,"Warbreaker (Warbreaker, #1)",eng,4.22,55948,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1666,42038,"William Shakespeare, Katherine Duncan-Jones",1592,Sonnets,Shakespeare's Sonnets,en-US,4.24,58291,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1667,8492856,Sarah Dessen,2011,What Happened to Goodbye,What Happened to Goodbye,eng,3.97,69636,https://images.gr-assets.com/books/1347810788m/8492856.jpg,https://images.gr-assets.com/books/1347810788s/8492856.jpg
1668,23437156,Leigh Bardugo,2015,Six of Crows,"Six of Crows (Six of Crows, #1)",eng,4.46,90202,https://images.gr-assets.com/books/1500689111m/23437156.jpg,https://images.gr-assets.com/books/1500689111s/23437156.jpg
1669,17020,Maureen Johnson,2005,13 Little Blue Envelopes,"13 Little Blue Envelopes (Little Blue Envelope, #1)",eng,3.65,66950,https://images.gr-assets.com/books/1375030179m/17020.jpg,https://images.gr-assets.com/books/1375030179s/17020.jpg
1670,104189,"Ron Hall, Denver Moore, Lynn Vincent",2005,Same Kind of Different as Me,Same Kind of Different as Me,en-US,4.21,52964,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1671,23734628,Rainbow Rowell,2015,Carry On,Carry On,eng,4.19,46197,https://images.gr-assets.com/books/1429810397m/23734628.jpg,https://images.gr-assets.com/books/1429810397s/23734628.jpg
1672,10235,Tracy Kidder,2003,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World","Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, A Man Who Would Cure the World",eng,4.21,53019,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1673,18149927,Jodi Ellen Malpas,2013,Beneath This Man ,"Beneath This Man (This Man, #2)",eng,4.3,44170,https://images.gr-assets.com/books/1372773964m/18149927.jpg,https://images.gr-assets.com/books/1372773964s/18149927.jpg
1674,9579634,Mark  Lawrence,2011,Prince of Thorns,"Prince of Thorns (The Broken Empire, #1)",eng,3.87,54173,https://images.gr-assets.com/books/1327917754m/9579634.jpg,https://images.gr-assets.com/books/1327917754s/9579634.jpg
1675,5187,Jane Hamilton,1988,The Book of Ruth,The Book of Ruth,en-US,3.82,56842,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
